id,brewery_id,latitude,longitude,accuracy
199,212,52.3935,9.6814,ROOFTOP
200,213,47.8243,10.0239,ROOFTOP
201,214,47.3642,8.5245,ROOFTOP
202,216,47.7818,9.6215,ROOFTOP
203,217,47.3301,9.4135,RANGE_INTERPOLATED
204,218,50.8753,6.9944,ROOFTOP
205,219,47.4301,9.3794,ROOFTOP
206,220,51.2216,6.7853,ROOFTOP
207,221,51.2847,7.2936,ROOFTOP
208,222,49.8942,10.8855,APPROXIMATE
209,223,51.9657,7.6214,ROOFTOP
210,224,48.1306,15.1386,APPROXIMATE
211,225,48.0778,9.3996,ROOFTOP
213,227,44.4105,-95.4107,RANGE_INTERPOLATED
214,228,49.6993,9.2492,ROOFTOP
215,229,51.2404,6.7516,ROOFTOP
216,230,47.6651,9.1750,ROOFTOP
217,231,43.0646,141.3470,APPROXIMATE
218,232,50.9394,6.9594,ROOFTOP
219,233,47.5585,8.9006,ROOFTOP
220,234,47.0679,15.4417,APPROXIMATE
221,235,41.2540,-95.9993,APPROXIMATE
222,236,39.7236,-105.0010,ROOFTOP
223,237,39.7236,-105.0010,ROOFTOP
224,238,50.6718,6.1220,RANGE_INTERPOLATED
225,239,41.3470,-81.8226,ROOFTOP
226,240,37.3861,-122.0840,APPROXIMATE
227,241,57.6830,-2.0030,APPROXIMATE
228,242,39.3028,-76.6164,ROOFTOP
229,243,41.4548,-70.5650,APPROXIMATE
230,244,50.8527,4.3311,GEOMETRIC_CENTER
231,245,48.9739,14.4750,APPROXIMATE
232,246,51.3144,4.9890,RANGE_INTERPOLATED
233,247,42.8606,-90.1772,RANGE_INTERPOLATED
234,248,50.8530,4.1649,RANGE_INTERPOLATED
235,249,42.6818,-74.9255,RANGE_INTERPOLATED
236,250,42.5847,-87.8212,APPROXIMATE
237,251,37.5483,-121.9890,APPROXIMATE
238,254,42.4965,-90.6652,ROOFTOP
239,255,45.5311,-122.6850,ROOFTOP
240,256,39.3628,-77.4265,ROOFTOP
241,257,38.8097,-104.8260,RANGE_INTERPOLATED
242,258,39.8735,-86.1427,RANGE_INTERPOLATED
243,259,40.7215,-73.9575,ROOFTOP
244,260,55.6145,-3.4107,APPROXIMATE
245,261,52.3666,4.9263,ROOFTOP
246,262,51.2974,4.6881,RANGE_INTERPOLATED
247,263,50.8961,2.7222,RANGE_INTERPOLATED
248,264,50.4431,4.4147,RANGE_INTERPOLATED
249,265,50.8853,4.7008,RANGE_INTERPOLATED
250,266,50.8628,3.2992,RANGE_INTERPOLATED
251,267,50.7767,3.2785,RANGE_INTERPOLATED
252,268,50.7123,4.2197,RANGE_INTERPOLATED
253,269,51.0138,4.2018,RANGE_INTERPOLATED
254,270,51.2986,5.4896,RANGE_INTERPOLATED
255,271,50.9850,4.2226,ROOFTOP
256,272,51.0281,2.9038,ROOFTOP
257,273,51.2094,3.2252,APPROXIMATE
258,274,50.9098,4.2505,RANGE_INTERPOLATED
259,110,51.5440,5.1285,RANGE_INTERPOLATED
260,276,51.0228,4.1572,RANGE_INTERPOLATED
261,277,50.8105,3.1857,RANGE_INTERPOLATED
262,278,51.1968,3.2527,ROOFTOP
263,279,50.9710,4.1910,RANGE_INTERPOLATED
264,280,51.2515,5.5460,APPROXIMATE
265,281,51.0442,4.3257,APPROXIMATE
266,282,50.9882,5.0554,RANGE_INTERPOLATED
267,284,51.0325,4.4730,RANGE_INTERPOLATED
268,286,50.7763,5.1660,RANGE_INTERPOLATED
269,287,50.8439,3.6170,RANGE_INTERPOLATED
270,288,50.8180,4.2307,GEOMETRIC_CENTER
271,290,50.7586,4.3012,RANGE_INTERPOLATED
272,291,50.9462,3.1362,RANGE_INTERPOLATED
273,292,50.8310,3.6759,RANGE_INTERPOLATED
274,293,51.1168,5.6464,RANGE_INTERPOLATED
275,294,50.8417,4.0213,RANGE_INTERPOLATED
276,295,50.5018,4.1086,APPROXIMATE
277,296,50.8425,2.6362,RANGE_INTERPOLATED
278,297,51.4439,4.7386,RANGE_INTERPOLATED
279,298,51.0923,3.0100,RANGE_INTERPOLATED
280,299,51.1287,3.4785,RANGE_INTERPOLATED
281,300,50.8564,3.8845,RANGE_INTERPOLATED
282,301,50.8612,2.6615,ROOFTOP
283,302,50.7778,4.8877,RANGE_INTERPOLATED
284,303,50.9201,3.2579,RANGE_INTERPOLATED
285,304,51.1766,3.7462,RANGE_INTERPOLATED
286,305,50.8322,3.3884,RANGE_INTERPOLATED
287,307,49.9622,20.6003,RANGE_INTERPOLATED
288,309,49.6622,19.1742,ROOFTOP
289,310,45.6380,-89.4127,RANGE_INTERPOLATED
290,311,38.2554,-85.7441,ROOFTOP
291,312,56.0746,12.1161,RANGE_INTERPOLATED
292,313,42.5083,-89.0318,APPROXIMATE
293,314,40.1119,-76.5031,ROOFTOP
294,317,39.7050,-104.9360,RANGE_INTERPOLATED
295,318,36.7477,-119.7720,APPROXIMATE
296,319,41.2404,-77.0057,RANGE_INTERPOLATED
297,320,52.0560,-2.7175,APPROXIMATE
298,322,52.8065,-1.6225,GEOMETRIC_CENTER
299,323,39.7245,-121.8480,ROOFTOP
300,324,36.7477,-119.7720,APPROXIMATE
301,325,41.5713,-71.0571,RANGE_INTERPOLATED
302,326,41.1607,-104.8020,ROOFTOP
303,327,42.6542,-73.7481,ROOFTOP
304,328,42.1844,-122.6630,ROOFTOP
305,329,55.9358,-3.2297,RANGE_INTERPOLATED
306,330,35.9320,-84.0120,ROOFTOP
307,331,37.9735,-122.5310,APPROXIMATE
308,332,32.9147,-117.1460,ROOFTOP
309,333,42.3664,-71.0911,ROOFTOP
310,334,43.4745,-79.6775,RANGE_INTERPOLATED
311,335,41.4995,-81.6954,APPROXIMATE
312,336,52.1344,-106.6480,APPROXIMATE
313,337,42.6102,-70.6664,ROOFTOP
314,338,43.0949,-89.5163,ROOFTOP
315,339,38.8999,-77.0272,ROOFTOP
316,340,38.8411,-77.0869,ROOFTOP
317,341,41.1260,-73.7896,ROOFTOP
318,342,52.8042,-6.7295,GEOMETRIC_CENTER
319,343,52.7196,-6.8460,APPROXIMATE
320,344,55.6667,12.5393,RANGE_INTERPOLATED
321,345,56.9002,12.5405,GEOMETRIC_CENTER
322,346,-37.8231,144.9670,ROOFTOP
323,347,42.2689,-89.0907,ROOFTOP
324,348,36.6777,-121.6560,APPROXIMATE
325,349,35.6231,-80.8011,ROOFTOP
326,350,35.9103,-79.0632,RANGE_INTERPOLATED
327,351,37.2748,-107.8800,ROOFTOP
328,352,43.7548,-71.3967,APPROXIMATE
329,354,43.6490,-72.3193,APPROXIMATE
330,355,41.9625,-91.6918,APPROXIMATE
331,356,30.2672,-97.7431,APPROXIMATE
332,357,49.1873,-122.8500,ROOFTOP
333,358,44.4419,-89.2797,ROOFTOP
334,359,14.6133,-90.5353,APPROXIMATE
335,360,25.7091,-100.3140,RANGE_INTERPOLATED
336,363,-32.8902,-68.8440,APPROXIMATE
337,364,37.4316,-78.6569,APPROXIMATE
339,367,19.7219,-101.2250,RANGE_INTERPOLATED
340,368,-25.1688,-50.1298,GEOMETRIC_CENTER
341,369,-26.8914,-49.1223,GEOMETRIC_CENTER
342,370,37.1875,-3.6018,GEOMETRIC_CENTER
343,371,35.1400,-106.6000,ROOFTOP
344,372,52.1321,-0.4815,GEOMETRIC_CENTER
345,373,28.2126,-80.6734,ROOFTOP
346,374,40.7457,-74.0086,GEOMETRIC_CENTER
347,375,44.8342,-87.3770,APPROXIMATE
348,376,39.8023,-105.0840,ROOFTOP
349,377,36.1476,-115.2980,ROOFTOP
350,378,50.0355,4.3777,GEOMETRIC_CENTER
351,379,27.9587,-82.5093,ROOFTOP
352,380,39.7684,-86.1580,APPROXIMATE
353,339,43.8042,-91.2526,ROOFTOP
354,382,33.8575,-117.8760,APPROXIMATE
355,383,41.4995,-81.6994,ROOFTOP
356,384,40.6598,-74.2830,ROOFTOP
357,385,39.2308,-76.6751,ROOFTOP
358,386,50.9401,6.9570,ROOFTOP
359,387,35.2205,-97.4439,ROOFTOP
360,388,30.3960,-88.8853,APPROXIMATE
361,389,37.0013,-121.5660,ROOFTOP
362,390,37.9780,-122.0310,APPROXIMATE
363,391,47.6745,-116.7840,ROOFTOP
364,392,45.4582,-94.4291,RANGE_INTERPOLATED
365,393,42.4170,-88.0740,APPROXIMATE
366,394,42.3584,-71.0598,APPROXIMATE
367,396,43.3177,-73.6400,ROOFTOP
368,397,-34.8727,138.5730,ROOFTOP
369,398,42.5893,-74.9403,GEOMETRIC_CENTER
370,399,39.7599,-105.2190,ROOFTOP
371,400,37.7273,-89.2168,APPROXIMATE
372,401,40.9222,-98.3581,APPROXIMATE
373,402,40.8942,-77.1971,GEOMETRIC_CENTER
374,403,43.5323,-90.0099,ROOFTOP
375,404,32.6976,-117.1730,RANGE_INTERPOLATED
376,405,41.5370,-71.2796,RANGE_INTERPOLATED
377,406,53.8846,-1.2652,APPROXIMATE
378,407,41.5855,-93.6210,ROOFTOP
379,408,44.0886,-87.6576,ROOFTOP
380,409,40.2795,-75.2143,RANGE_INTERPOLATED
381,410,40.4313,-104.6880,RANGE_INTERPOLATED
382,411,34.1696,-118.1590,ROOFTOP
383,412,40.8069,-96.6817,APPROXIMATE
384,413,29.9558,-90.0641,ROOFTOP
385,414,38.8698,-106.9870,RANGE_INTERPOLATED
386,415,40.8726,-74.2964,ROOFTOP
387,416,41.4995,-81.6954,APPROXIMATE
388,417,40.6936,-89.5890,APPROXIMATE
389,418,54.2912,-0.8406,APPROXIMATE
390,419,43.1147,-89.6531,ROOFTOP
391,420,31.7291,-116.5780,GEOMETRIC_CENTER
392,421,41.8539,-88.2776,RANGE_INTERPOLATED
393,422,38.2309,-85.7055,ROOFTOP
394,423,43.7076,-70.3149,RANGE_INTERPOLATED
395,424,50.6059,3.3884,APPROXIMATE
396,425,53.9999,-1.5010,GEOMETRIC_CENTER
397,426,42.2667,-84.9641,RANGE_INTERPOLATED
398,427,29.8994,-90.1004,APPROXIMATE
399,428,51.4421,4.9232,RANGE_INTERPOLATED
400,429,53.0606,5.5342,RANGE_INTERPOLATED
401,430,51.2026,3.2242,RANGE_INTERPOLATED
402,431,51.0811,3.3699,RANGE_INTERPOLATED
403,432,51.1159,3.8158,RANGE_INTERPOLATED
404,433,50.9229,2.7518,GEOMETRIC_CENTER
405,434,39.5584,-79.3528,APPROXIMATE
406,435,39.2904,-76.6122,APPROXIMATE
407,436,32.7153,-117.1570,APPROXIMATE
408,437,43.0481,-88.3553,ROOFTOP
409,438,38.2362,-122.6400,RANGE_INTERPOLATED
410,439,44.3478,-87.8273,APPROXIMATE
411,440,39.7553,-104.9970,ROOFTOP
412,441,44.0474,-121.3230,ROOFTOP
413,442,33.9858,-96.6515,GEOMETRIC_CENTER
414,443,39.1361,-84.5031,APPROXIMATE
415,444,34.7473,-92.2839,ROOFTOP
416,445,47.9485,-122.3050,ROOFTOP
417,446,41.4995,-81.6954,APPROXIMATE
418,447,46.7713,-123.0070,ROOFTOP
419,448,51.5331,6.4213,ROOFTOP
420,449,45.5228,-73.5928,ROOFTOP
421,450,39.6282,-106.0590,GEOMETRIC_CENTER
422,452,38.5405,-90.4607,ROOFTOP
423,453,49.2766,-123.1150,RANGE_INTERPOLATED
424,454,29.9606,-90.0871,ROOFTOP
425,455,39.7541,-105.0000,APPROXIMATE
426,456,39.9478,-75.2229,ROOFTOP
427,457,49.2698,-123.1320,RANGE_INTERPOLATED
428,459,38.7683,-75.3107,GEOMETRIC_CENTER
429,460,51.5298,7.4692,ROOFTOP
430,461,39.8019,-105.5140,APPROXIMATE
431,462,45.7100,-121.5150,ROOFTOP
432,463,42.4930,-82.9753,RANGE_INTERPOLATED
433,464,37.7176,-122.1820,ROOFTOP
434,465,47.4921,19.1422,RANGE_INTERPOLATED
435,466,35.0845,-106.6510,APPROXIMATE
436,467,53.3441,-6.2675,APPROXIMATE
437,468,42.5006,-90.6646,APPROXIMATE
438,469,35.6003,-77.5971,ROOFTOP
439,470,39.2807,-76.5944,ROOFTOP
440,471,28.0140,-82.7876,ROOFTOP
441,472,41.7075,-86.8950,APPROXIMATE
442,281,51.2206,4.3997,APPROXIMATE
443,474,-45.0331,168.6610,ROOFTOP
444,401,47.9454,-122.3040,RANGE_INTERPOLATED
445,476,40.4553,-79.9043,ROOFTOP
446,477,38.7814,-76.2222,RANGE_INTERPOLATED
447,478,38.5725,-109.5510,RANGE_INTERPOLATED
448,480,49.9211,9.0715,APPROXIMATE
449,481,40.5793,-124.1530,ROOFTOP
450,482,55.7558,37.6176,APPROXIMATE
451,483,44.4489,-88.0604,APPROXIMATE
452,484,51.8162,9.8643,ROOFTOP
453,485,37.9780,-122.0340,ROOFTOP
454,487,37.1553,-121.6760,RANGE_INTERPOLATED
455,489,52.6643,0.1595,APPROXIMATE
456,490,40.8911,-77.4770,ROOFTOP
457,491,38.4093,-121.3630,ROOFTOP
458,492,47.8099,-122.3020,ROOFTOP
459,493,39.2684,-76.7994,ROOFTOP
460,494,47.5604,-122.3870,ROOFTOP
461,495,42.9324,-72.2867,RANGE_INTERPOLATED
462,496,47.6140,-122.3160,ROOFTOP
463,497,47.6688,-122.3340,ROOFTOP
464,498,-45.8720,170.5180,ROOFTOP
465,499,37.8313,-122.2850,APPROXIMATE
466,500,42.0981,-88.2783,RANGE_INTERPOLATED
467,501,40.8155,-96.7105,ROOFTOP
468,502,43.5325,-90.0026,APPROXIMATE
469,504,47.2560,-122.4730,ROOFTOP
470,505,36.6802,-121.8040,ROOFTOP
471,506,-36.9489,174.8210,APPROXIMATE
472,507,42.1112,-80.1130,ROOFTOP
473,508,43.1147,-89.6531,ROOFTOP
474,509,40.3707,-105.5260,ROOFTOP
475,510,41.4559,-122.8460,RANGE_INTERPOLATED
476,511,47.5690,11.0942,ROOFTOP
477,512,43.1045,-75.2452,ROOFTOP
479,513,47.6701,-122.1180,APPROXIMATE
480,514,43.0844,-89.4761,RANGE_INTERPOLATED
481,515,37.3870,-121.9930,RANGE_INTERPOLATED
482,516,37.8855,-122.0330,APPROXIMATE
483,517,54.9548,-1.6576,GEOMETRIC_CENTER
485,519,51.6987,-4.1456,GEOMETRIC_CENTER
486,520,39.3220,-120.1630,ROOFTOP
487,521,41.0117,-95.2272,APPROXIMATE
488,522,44.0812,-103.2270,RANGE_INTERPOLATED
489,523,37.3775,-122.0300,RANGE_INTERPOLATED
490,524,35.5953,-120.6940,ROOFTOP
491,525,34.2257,-77.9447,APPROXIMATE
492,526,47.0437,-122.8970,ROOFTOP
493,527,46.7926,-92.0909,RANGE_INTERPOLATED
494,528,41.6611,-91.5302,APPROXIMATE
495,529,35.1973,-111.6480,ROOFTOP
496,530,38.9500,-92.3323,ROOFTOP
497,531,44.9084,-93.1538,RANGE_INTERPOLATED
498,532,42.2031,-87.9302,GEOMETRIC_CENTER
499,534,54.7790,9.4355,ROOFTOP
500,535,28.0707,-80.6012,ROOFTOP
501,536,41.5433,-87.6789,RANGE_INTERPOLATED
502,537,43.1610,-77.6109,APPROXIMATE
503,538,48.2992,-122.6520,RANGE_INTERPOLATED
504,539,42.9561,-78.8966,ROOFTOP
505,540,39.7582,-104.9900,ROOFTOP
506,541,39.9121,-74.9701,ROOFTOP
507,542,50.6818,4.9547,APPROXIMATE
508,543,36.0973,-80.2509,ROOFTOP
509,544,38.9773,-76.4948,ROOFTOP
510,545,40.5832,-105.0420,ROOFTOP
511,548,38.8048,-77.0469,APPROXIMATE
512,549,42.9585,-85.6735,ROOFTOP
513,550,41.8089,-88.0112,APPROXIMATE
514,551,33.4194,-111.9160,ROOFTOP
515,552,44.0342,-88.5608,RANGE_INTERPOLATED
516,553,44.2678,-88.4731,RANGE_INTERPOLATED
517,554,41.4990,-72.9007,APPROXIMATE
518,555,39.3628,-77.4265,ROOFTOP
519,556,38.9718,-95.2357,ROOFTOP
520,557,51.8325,-2.5116,GEOMETRIC_CENTER
521,558,53.5755,7.9016,ROOFTOP
522,559,41.5202,-90.5725,RANGE_INTERPOLATED
523,560,41.5403,-82.7355,APPROXIMATE
524,561,49.0156,12.0913,ROOFTOP
525,562,45.7103,-121.5150,RANGE_INTERPOLATED
526,563,51.4877,-0.2498,GEOMETRIC_CENTER
527,565,43.8014,-91.2396,APPROXIMATE
528,566,40.7465,-74.2594,ROOFTOP
529,567,51.3397,12.3714,APPROXIMATE
530,568,47.6064,9.6061,ROOFTOP
531,569,47.5171,9.4300,ROOFTOP
532,570,51.2249,6.7757,APPROXIMATE
533,571,53.1691,0.3169,GEOMETRIC_CENTER
534,572,50.7989,-1.0912,APPROXIMATE
535,573,52.3544,9.7532,ROOFTOP
536,574,46.5180,-95.3761,APPROXIMATE
537,575,61.2179,-149.8960,ROOFTOP
538,576,41.8775,-88.0670,APPROXIMATE
539,577,39.5476,-107.3230,ROOFTOP
540,578,-27.8539,153.3590,APPROXIMATE
541,579,43.4676,-80.5231,RANGE_INTERPOLATED
542,580,39.7546,-105.2240,ROOFTOP
543,581,37.7749,-122.4190,APPROXIMATE
544,582,37.8716,-122.2730,APPROXIMATE
545,583,41.9273,-87.6807,RANGE_INTERPOLATED
546,584,45.2104,-123.1890,ROOFTOP
547,585,41.9137,-87.6543,ROOFTOP
548,586,41.8871,-87.6721,ROOFTOP
549,587,26.0745,-80.1806,ROOFTOP
550,588,37.3526,-121.8930,RANGE_INTERPOLATED
551,589,39.6441,-106.5960,ROOFTOP
552,590,41.4295,-97.3623,ROOFTOP
553,591,42.1779,-88.3377,ROOFTOP
554,592,40.2518,-105.8200,RANGE_INTERPOLATED
555,593,43.4988,-110.8770,ROOFTOP
556,594,43.5984,-111.1080,RANGE_INTERPOLATED
557,595,41.2672,-96.0714,RANGE_INTERPOLATED
558,596,45.5498,-94.2067,RANGE_INTERPOLATED
559,597,49.8945,-119.4880,RANGE_INTERPOLATED
